variable,level_1,period,mult,smoothing,flip_count,avg_lag,lag_2020,lag_2022,score
DXY,12,15,2.0,raw,26,12.746386333771353,4.533508541392904,20.9592641261498,-23.146386333771353
DXY,13,15,2.0,ma3,26,12.746386333771353,4.533508541392904,20.9592641261498,-23.146386333771353
DXY,4,10,2.5,ma3,26,12.746386333771353,4.533508541392904,20.9592641261498,-23.146386333771353
DXY,1,10,2.0,ma3,26,12.746386333771353,4.533508541392904,20.9592641261498,-23.146386333771353
DXY,25,20,2.0,ma3,26,12.746386333771353,4.533508541392904,20.9592641261498,-23.146386333771353
DXY,37,24,2.0,ma3,26,12.746386333771353,4.533508541392904,20.9592641261498,-23.146386333771353
DXY,10,10,4.0,ma3,18,16.73784494086728,4.533508541392904,28.942181340341655,-23.93784494086728
DXY,8,10,3.0,ma6,20,16.73784494086728,4.533508541392904,28.942181340341655,-24.73784494086728
DXY,33,20,4.0,raw,14,19.76018396846255,4.533508541392904,34.98685939553219,-25.36018396846255
DXY,21,15,4.0,raw,14,19.76018396846255,4.533508541392904,34.98685939553219,-25.36018396846255
DXY,5,10,2.5,ma6,22,16.73784494086728,4.533508541392904,28.942181340341655,-25.53784494086728
DXY,28,20,2.5,ma3,22,16.73784494086728,4.533508541392904,28.942181340341655,-25.53784494086728
DXY,19,15,3.0,ma3,22,16.73784494086728,4.533508541392904,28.942181340341655,-25.53784494086728
DXY,16,15,2.5,ma3,24,16.24507227332457,4.533508541392904,27.95663600525624,-25.845072273324572
DXY,26,20,2.0,ma6,22,17.24704336399474,4.533508541392904,29.96057818659658,-26.047043363994742
DXY,38,24,2.0,ma6,22,17.24704336399474,5.551905387647832,28.942181340341655,-26.047043363994742
DXY,14,15,2.0,ma6,22,17.24704336399474,4.533508541392904,29.96057818659658,-26.047043363994742
DXY,9,10,4.0,raw,16,19.76018396846255,4.533508541392904,34.98685939553219,-26.160183968462547
DXY,42,24,3.0,raw,16,19.76018396846255,4.533508541392904,34.98685939553219,-26.160183968462547
DXY,34,20,4.0,ma3,16,19.76018396846255,4.533508541392904,34.98685939553219,-26.160183968462547
DXY,46,24,4.0,ma3,18,19.76018396846255,4.533508541392904,34.98685939553219,-26.960183968462548
DXY,43,24,3.0,ma3,18,19.76018396846255,4.533508541392904,34.98685939553219,-26.960183968462548
DXY,22,15,4.0,ma3,18,19.76018396846255,4.533508541392904,34.98685939553219,-26.960183968462548
DXY,20,15,3.0,ma6,18,20.269382391590014,4.533508541392904,36.00525624178712,-27.469382391590013
DXY,29,20,2.5,ma6,18,20.269382391590014,4.533508541392904,36.00525624178712,-27.469382391590013
DXY,23,15,4.0,ma6,16,21.23850197109067,5.551905387647832,36.925098554533506,-27.63850197109067
DXY,35,20,4.0,ma6,16,21.23850197109067,5.551905387647832,36.925098554533506,-27.63850197109067
DXY,47,24,4.0,ma6,16,21.23850197109067,5.551905387647832,36.925098554533506,-27.63850197109067
DXY,40,24,2.5,ma3,20,19.76018396846255,4.533508541392904,34.98685939553219,-27.76018396846255
DXY,31,20,3.0,ma3,20,19.76018396846255,4.533508541392904,34.98685939553219,-27.76018396846255
DXY,11,10,4.0,ma6,18,20.729303547963205,4.533508541392904,36.925098554533506,-27.929303547963205
DXY,32,20,3.0,ma6,18,20.77858081471748,5.551905387647832,36.00525624178712,-27.97858081471748
DXY,41,24,2.5,ma6,18,20.77858081471748,5.551905387647832,36.00525624178712,-27.97858081471748
DXY,17,15,2.5,ma6,20,20.269382391590014,4.533508541392904,36.00525624178712,-28.269382391590014
DXY,44,24,3.0,ma6,18,21.23850197109067,5.551905387647832,36.925098554533506,-28.43850197109067
DXY,39,24,2.5,raw,22,26.741130091984232,32.52299605781866,20.9592641261498,-35.54113009198423
DXY,0,10,2.0,raw,24,26.741130091984232,32.52299605781866,20.9592641261498,-36.34113009198423
DXY,45,24,4.0,raw,12,32.26675427069645,4.533508541392904,60.0,-37.06675427069645
DXY,3,10,2.5,raw,18,33.24572930354796,32.52299605781866,33.96846254927726,-40.445729303547964
DXY,6,10,3.0,raw,18,33.24572930354796,32.52299605781866,33.96846254927726,-40.445729303547964
DXY,15,15,2.5,raw,18,33.24572930354796,32.52299605781866,33.96846254927726,-40.445729303547964
DXY,27,20,2.5,raw,18,33.24572930354796,32.52299605781866,33.96846254927726,-40.445729303547964
DXY,30,20,3.0,raw,18,33.754927726675426,32.52299605781866,34.98685939553219,-40.95492772667543
DXY,18,15,3.0,raw,18,33.754927726675426,32.52299605781866,34.98685939553219,-40.95492772667543
